               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095944,            0.026973,                   0,             0.30058,              0.5024,              0.3029,             0.07525,             0.06517,            0.017103,                   0,              0.0748,              0.0028,              0.0028
                   1,            0.057316,             0.02105,                   0,             0.47893,              0.5048,             0.52103,             0.25981,            0.045992,            0.013129,                   0,            0.048644,           0.0056436,           0.0056436
                   2,            0.050803,            0.017432,                   0,             0.62523,             0.78777,             0.73755,              0.2466,            0.055542,            0.011384,                   0,             0.02243,           0.0084297,           0.0084297
                   3,            0.048363,            0.015146,                   0,              0.7319,              0.8777,             0.85783,             0.48064,            0.042769,            0.011372,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.040596,            0.012419,                   0,             0.73283,             0.93076,             0.87155,             0.56969,            0.034034,           0.0093576,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.035553,            0.010252,                   0,             0.89647,             0.96283,             0.95201,             0.44586,            0.038994,           0.0074086,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.032704,            0.009001,                   0,             0.93637,             0.98681,             0.96137,             0.58959,            0.028841,           0.0061386,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.030537,           0.0081836,                   0,             0.93954,             0.98748,             0.98626,             0.58992,              0.0291,           0.0058056,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.028556,           0.0077381,                   0,             0.98378,             0.94553,             0.99229,             0.73189,            0.024011,           0.0049664,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.02764,            0.007006,                   0,             0.97109,             0.98441,              0.9942,             0.77325,            0.023266,           0.0048768,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.025846,           0.0067534,                   0,             0.96404,                   1,             0.99282,             0.67677,            0.021855,           0.0046911,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.026381,           0.0066574,                   0,             0.95935,                   1,             0.99075,             0.72098,            0.021263,           0.0046003,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.024963,           0.0062631,                   0,             0.97155,             0.99281,             0.99404,              0.7773,            0.020548,            0.004627,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.023531,            0.006333,                   0,             0.96568,             0.99041,             0.99428,             0.81512,             0.01659,           0.0043809,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.023362,           0.0060495,                   0,             0.96931,                   1,             0.99409,             0.80227,            0.017511,           0.0043625,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.02281,           0.0063018,                   0,             0.97375,              0.9988,             0.99417,             0.84017,            0.015825,           0.0043859,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.021617,             0.00585,                   0,             0.97429,             0.99978,             0.99408,             0.80236,            0.016389,           0.0043308,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.021343,           0.0058903,                   0,             0.96717,                   1,             0.99435,              0.7705,            0.017133,           0.0041907,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.020881,           0.0058756,                   0,             0.96494,                   1,             0.99406,             0.83521,            0.014372,           0.0040438,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.020733,           0.0054731,                   0,             0.96606,                   1,              0.9926,             0.71366,            0.021858,           0.0043148,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.020434,           0.0056731,                   0,             0.96729,                   1,             0.99361,             0.85477,            0.013563,           0.0039406,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.020109,           0.0057142,                   0,             0.98539,               0.994,             0.99484,             0.85951,            0.013516,           0.0039543,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.019236,           0.0054153,                   0,             0.99282,              0.9942,             0.99492,             0.79963,            0.016494,           0.0039659,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.019514,           0.0054441,                   0,             0.98049,              0.9976,             0.99478,             0.83718,            0.015308,           0.0039716,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.018124,           0.0052657,                   0,              0.9921,              0.9952,             0.99488,             0.85062,            0.013121,           0.0039043,                   0,            0.007723,            0.007723,            0.007723
